,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
980,2017,3,24,Mexico,Costa Rica,2,0,World Cup qualifier,,1929,1773,Mexico-Costa Rica,2017-03-24,2,2-0,2-0,1929,1773,Mexico,Costa Rica,1.264854103404759,0.6310675506908555,1.2830820857810739,0.6925193586963139,0.572334744708445,-0.6520145350902183,3702,156,1.0879864636209813
988,2017,3,25,Belgium,Greece,1,1,World Cup qualifier,,1890,1669,Belgium-Greece,2017-03-25,2,1-1,1-1,1890,1669,Belgium,Greece,3.498899076669048,0.8666452107468361,1.5943641355358629,0.8517276878810962,2.647171388787952,-0.7277189247890268,3559,221,1.1324146195326543
995,2017,3,25,Portugal,Hungary,3,0,World Cup qualifier,,1940,1682,Portugal-Hungary,2017-03-25,3,3-0,3-0,1940,1682,Portugal,Hungary,3.2893199066778003,0.5979048337555725,1.4289005531948331,1.307028830052431,1.9822910766253692,-0.8309957194392606,3622,258,1.1533888228299642
1009,2017,3,26,Romania,Denmark,0,0,World Cup qualifier,,1677,1720,Romania-Denmark,2017-03-26,0,0-0,0-0,1720,1677,Denmark,Romania,2.0268501723942607,1.0411093394352993,1.0651757921943434,1.1004818306857391,0.9263683417085216,-0.024066452759044177,3397,43,1.0256410256410255
1022,2017,3,28,Bolivia,Argentina,2,0,World Cup qualifier,,1681,2004,Bolivia-Argentina,2017-03-28,2,2-0,0-2,2004,1681,Argentina,Bolivia,1.5843748737701364,0.8565275607412052,0.7033793655302022,2.071320675876267,-0.4869458021061306,0.15314819521100298,3685,323,1.1921475312314098
1023,2017,3,28,Brazil,Paraguay,3,0,World Cup qualifier,,2122,1721,Brazil-Paraguay,2017-03-28,3,3-0,3-0,2122,1721,Brazil,Paraguay,2.5865343840286217,0.482727840483288,0.9505074513329227,1.5821726073079747,1.004361776720647,-0.4677796108496347,3843,401,1.2330040674026728
1024,2017,3,28,Chile,Venezuela,3,1,World Cup qualifier,,1980,1680,Chile-Venezuela,2017-03-28,4,3-1,3-1,1980,1680,Chile,Venezuela,1.0894307247045303,0.858063585777566,1.346544301401094,1.8254002049713378,-0.7359694802668075,-0.488480715623528,3660,300,1.1785714285714286
1025,2017,3,28,Ecuador,Colombia,0,2,World Cup qualifier,,1801,1959,Ecuador-Colombia,2017-03-28,2,0-2,2-0,1959,1801,Colombia,Ecuador,0.8719614495186867,1.022610823283781,1.849068829195838,1.4163952567149805,-0.5444338071962938,-0.826458005912057,3760,158,1.087729039422543
1048,2017,3,28,Panama,United States,1,1,World Cup qualifier,,1644,1752,Panama-United States,2017-03-28,2,1-1,1-1,1752,1644,United States,Panama,2.132829088477059,0.8410991189125131,0.67942594488828,0.6535563307179904,1.4792727577590687,0.1616731740242331,3396,108,1.0656934306569343
1049,2017,3,28,Peru,Uruguay,2,1,World Cup qualifier,,1848,1870,Peru-Uruguay,2017-03-28,3,2-1,1-2,1870,1848,Uruguay,Peru,1.7213122358459496,1.8795319801196113,1.612978843984425,1.5343553223698687,0.1869569134760809,0.2665531361351863,3718,22,1.0119047619047619
